Country Name,Country Code,Series Name,Series Code,2021 [YR2021]
Antigua and Barbuda,ATG,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Antigua and Barbuda,ATG,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Antigua and Barbuda,ATG,GDP (current US$),NY.GDP.MKTP.CD,1471125926
Antigua and Barbuda,ATG,GDP per capita (current US$),NY.GDP.PCAP.CD,14900.7974
Antigua and Barbuda,ATG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Antigua and Barbuda,ATG,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Argentina,ARG,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,79.375
Argentina,ARG,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Argentina,ARG,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Argentina,ARG,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Argentina,ARG,GDP (current US$),NY.GDP.MKTP.CD,4.91493E+11
Argentina,ARG,GDP per capita (current US$),NY.GDP.PCAP.CD,10729.23258
Argentina,ARG,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,8.739999771
Argentina,ARG,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Armenia,ARM,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,87.5
Armenia,ARM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Armenia,ARM,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Armenia,ARM,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Armenia,ARM,GDP (current US$),NY.GDP.MKTP.CD,13861183874
Armenia,ARM,GDP per capita (current US$),NY.GDP.PCAP.CD,4670.008798
Armenia,ARM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Armenia,ARM,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Aruba,ABW,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,NA
Aruba,ABW,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Aruba,ABW,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Aruba,ABW,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Aruba,ABW,GDP (current US$),NY.GDP.MKTP.CD,NA
Aruba,ABW,GDP per capita (current US$),NY.GDP.PCAP.CD,NA
Aruba,ABW,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Aruba,ABW,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Australia,AUS,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,96.875
Australia,AUS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Australia,AUS,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Australia,AUS,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Australia,AUS,GDP (current US$),NY.GDP.MKTP.CD,1.54266E+12
Australia,AUS,GDP per capita (current US$),NY.GDP.PCAP.CD,59934.12941
Australia,AUS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.110000134
Australia,AUS,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Austria,AUT,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,96.875
Austria,AUT,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Austria,AUT,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Austria,AUT,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Austria,AUT,GDP (current US$),NY.GDP.MKTP.CD,4.77082E+11
Austria,AUT,GDP per capita (current US$),NY.GDP.PCAP.CD,53267.93275
Austria,AUT,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,6.179999828
Austria,AUT,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Azerbaijan,AZE,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,78.75
Azerbaijan,AZE,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Azerbaijan,AZE,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Azerbaijan,AZE,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Azerbaijan,AZE,GDP (current US$),NY.GDP.MKTP.CD,54622176471
Azerbaijan,AZE,GDP per capita (current US$),NY.GDP.PCAP.CD,5384.034998
Azerbaijan,AZE,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Azerbaijan,AZE,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
"Bahamas, The",BHS,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,81.25
"Bahamas, The",BHS,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
"Bahamas, The",BHS,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
"Bahamas, The",BHS,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
"Bahamas, The",BHS,GDP (current US$),NY.GDP.MKTP.CD,11208600000
"Bahamas, The",BHS,GDP per capita (current US$),NY.GDP.PCAP.CD,28239.36671
"Bahamas, The",BHS,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
"Bahamas, The",BHS,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Bahrain,BHR,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,65
Bahrain,BHR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Bahrain,BHR,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Bahrain,BHR,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Bahrain,BHR,GDP (current US$),NY.GDP.MKTP.CD,38868663032
Bahrain,BHR,GDP per capita (current US$),NY.GDP.PCAP.CD,22232.32523
Bahrain,BHR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Bahrain,BHR,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Bangladesh,BGD,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,49.375
Bangladesh,BGD,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Bangladesh,BGD,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Bangladesh,BGD,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Bangladesh,BGD,GDP (current US$),NY.GDP.MKTP.CD,4.16265E+11
Bangladesh,BGD,GDP per capita (current US$),NY.GDP.PCAP.CD,2503.04388
Bangladesh,BGD,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Bangladesh,BGD,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Barbados,BRB,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,80
Barbados,BRB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Barbados,BRB,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Barbados,BRB,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Barbados,BRB,GDP (current US$),NY.GDP.MKTP.CD,4900800000
Barbados,BRB,GDP per capita (current US$),NY.GDP.PCAP.CD,17033.93719
Barbados,BRB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Barbados,BRB,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Belarus,BLR,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,75.625
Belarus,BLR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Belarus,BLR,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Belarus,BLR,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Belarus,BLR,GDP (current US$),NY.GDP.MKTP.CD,68218816484
Belarus,BLR,GDP per capita (current US$),NY.GDP.PCAP.CD,7303.696266
Belarus,BLR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Belarus,BLR,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Belgium,BEL,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,100
Belgium,BEL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Belgium,BEL,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Belgium,BEL,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Belgium,BEL,GDP (current US$),NY.GDP.MKTP.CD,5.99879E+11
Belgium,BEL,GDP per capita (current US$),NY.GDP.PCAP.CD,51767.78857
Belgium,BEL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,6.260000229
Belgium,BEL,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Belize,BLZ,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,79.375
Belize,BLZ,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Belize,BLZ,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Belize,BLZ,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Belize,BLZ,GDP (current US$),NY.GDP.MKTP.CD,1789923264
Belize,BLZ,GDP per capita (current US$),NY.GDP.PCAP.CD,4420.491372
Belize,BLZ,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Belize,BLZ,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Benin,BEN,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,80.625
Benin,BEN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Benin,BEN,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Benin,BEN,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Benin,BEN,GDP (current US$),NY.GDP.MKTP.CD,17785640079
Benin,BEN,GDP per capita (current US$),NY.GDP.PCAP.CD,1428.447177
Benin,BEN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Benin,BEN,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Bermuda,BMU,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,NA
Bermuda,BMU,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Bermuda,BMU,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Bermuda,BMU,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Bermuda,BMU,GDP (current US$),NY.GDP.MKTP.CD,7080900000
Bermuda,BMU,GDP per capita (current US$),NY.GDP.PCAP.CD,110869.4631
Bermuda,BMU,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Bermuda,BMU,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Bhutan,BTN,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,71.875
Bhutan,BTN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Bhutan,BTN,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Bhutan,BTN,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Bhutan,BTN,GDP (current US$),NY.GDP.MKTP.CD,NA
Bhutan,BTN,GDP per capita (current US$),NY.GDP.PCAP.CD,NA
Bhutan,BTN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Bhutan,BTN,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Bolivia,BOL,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,88.75
Bolivia,BOL,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Bolivia,BOL,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Bolivia,BOL,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Bolivia,BOL,GDP (current US$),NY.GDP.MKTP.CD,40408208524
Bolivia,BOL,GDP per capita (current US$),NY.GDP.PCAP.CD,3414.892849
Bolivia,BOL,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Bolivia,BOL,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Bosnia and Herzegovina,BIH,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,85
Bosnia and Herzegovina,BIH,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Bosnia and Herzegovina,BIH,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Bosnia and Herzegovina,BIH,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Bosnia and Herzegovina,BIH,GDP (current US$),NY.GDP.MKTP.CD,22571512867
Bosnia and Herzegovina,BIH,GDP per capita (current US$),NY.GDP.PCAP.CD,6916.438315
Bosnia and Herzegovina,BIH,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,14.89999962
Bosnia and Herzegovina,BIH,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Botswana,BWA,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,63.75
Botswana,BWA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Botswana,BWA,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Botswana,BWA,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Botswana,BWA,GDP (current US$),NY.GDP.MKTP.CD,17613846473
Botswana,BWA,GDP per capita (current US$),NY.GDP.PCAP.CD,7347.552382
Botswana,BWA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Botswana,BWA,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Brazil,BRA,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,85
Brazil,BRA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Brazil,BRA,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Brazil,BRA,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Brazil,BRA,GDP (current US$),NY.GDP.MKTP.CD,1.60898E+12
Brazil,BRA,GDP per capita (current US$),NY.GDP.PCAP.CD,7518.834284
Brazil,BRA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,13.34000015
Brazil,BRA,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
British Virgin Islands,VGB,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,NA
British Virgin Islands,VGB,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
British Virgin Islands,VGB,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
British Virgin Islands,VGB,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
British Virgin Islands,VGB,GDP (current US$),NY.GDP.MKTP.CD,NA
British Virgin Islands,VGB,GDP per capita (current US$),NY.GDP.PCAP.CD,NA
British Virgin Islands,VGB,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
British Virgin Islands,VGB,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Brunei Darussalam,BRN,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,53.125
Brunei Darussalam,BRN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Brunei Darussalam,BRN,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Brunei Darussalam,BRN,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Brunei Darussalam,BRN,GDP (current US$),NY.GDP.MKTP.CD,14006569576
Brunei Darussalam,BRN,GDP per capita (current US$),NY.GDP.PCAP.CD,31722.66014
Brunei Darussalam,BRN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Brunei Darussalam,BRN,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Bulgaria,BGR,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,90.625
Bulgaria,BGR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Bulgaria,BGR,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Bulgaria,BGR,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Bulgaria,BGR,GDP (current US$),NY.GDP.MKTP.CD,80271119426
Bulgaria,BGR,GDP per capita (current US$),NY.GDP.PCAP.CD,11634.97102
Bulgaria,BGR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,5.269999981
Bulgaria,BGR,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Burkina Faso,BFA,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,82.5
Burkina Faso,BFA,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Burkina Faso,BFA,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Burkina Faso,BFA,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Burkina Faso,BFA,GDP (current US$),NY.GDP.MKTP.CD,19737615114
Burkina Faso,BFA,GDP per capita (current US$),NY.GDP.PCAP.CD,918.1525819
Burkina Faso,BFA,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Burkina Faso,BFA,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Burundi,BDI,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,76.25
Burundi,BDI,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Burundi,BDI,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Burundi,BDI,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Burundi,BDI,GDP (current US$),NY.GDP.MKTP.CD,2902029386
Burundi,BDI,GDP per capita (current US$),NY.GDP.PCAP.CD,236.7954142
Burundi,BDI,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Burundi,BDI,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Cabo Verde,CPV,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,86.25
Cabo Verde,CPV,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Cabo Verde,CPV,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Cabo Verde,CPV,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Cabo Verde,CPV,GDP (current US$),NY.GDP.MKTP.CD,1936174043
Cabo Verde,CPV,GDP per capita (current US$),NY.GDP.PCAP.CD,3445.756536
Cabo Verde,CPV,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Cabo Verde,CPV,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Cambodia,KHM,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,81.25
Cambodia,KHM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Cambodia,KHM,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Cambodia,KHM,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Cambodia,KHM,GDP (current US$),NY.GDP.MKTP.CD,26961061120
Cambodia,KHM,GDP per capita (current US$),NY.GDP.PCAP.CD,1590.95666
Cambodia,KHM,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Cambodia,KHM,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Cameroon,CMR,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,60
Cameroon,CMR,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Cameroon,CMR,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Cameroon,CMR,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Cameroon,CMR,GDP (current US$),NY.GDP.MKTP.CD,45238613480
Cameroon,CMR,GDP per capita (current US$),NY.GDP.PCAP.CD,1661.702105
Cameroon,CMR,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,NA
Cameroon,CMR,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Canada,CAN,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,100
Canada,CAN,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
Canada,CAN,"Literacy rate, adult male (% of males ages 15 and above)",SE.ADT.LITR.MA.ZS,NA
Canada,CAN,"Literacy rate, adult female (% of females ages 15 and above)",SE.ADT.LITR.FE.ZS,NA
Canada,CAN,GDP (current US$),NY.GDP.MKTP.CD,1.99076E+12
Canada,CAN,GDP per capita (current US$),NY.GDP.PCAP.CD,52051.35146
Canada,CAN,"Unemployment, total (% of total labor force) (national estimate)",SL.UEM.TOTL.NE.ZS,7.460000038
Canada,CAN,Individuals using the Internet (% of population),IT.NET.USER.ZS,NA
Cayman Islands,CYM,Women Business and the Law Index Score (scale 1-100),SG.LAW.INDX,NA
Cayman Islands,CYM,"Literacy rate, adult total (% of people ages 15 and above)",SE.ADT.LITR.ZS,NA
